CrimeDate,CrimeCode,Description,Weapon,District,Neighbourhood,Longtitude,Latitude,Impact,Intensity
2012,6,Larceny,Other,Northern,Abell,-76.61216,39.32474,0.253,126
2012,4,COMMON ASSAULT,HANDS,CENTRAL,Madison Park,-76.63206,39.30727,0.233,283
2012,4,COMMON ASSAULT,HANDS,EASTERN,Madison-Eastend,-76.57811,39.29918,0.25,208
2012,6D,LARCENY FROM AUTO,Other,NORTHEASTERN,Mayfield,-76.58079,39.3318,0.317,63
2012,5A,BURGLARY,other,SOUTHEASTERN,McElberry,-76.58073,39.29595,0.28,471
2012,6,Larceny,Other,Northern,Medfield,-76.63961,39.34126,0.333,72
2012,6,Larceny,Other,SOUTHEASTERN,Medford,-76.547,39.27837,0.506,75
2012,4,COMMON ASSAULT,HANDS,Northern,Mid-Govans,-76.60211,39.35649,0.287,87
2012,6D,LARCENY FROM AUTO,Other,CENTRAL,Mid-Town Belvedere,-76.61878,39.30214,0.417,467
2012,6,Larceny,Other,SOUTHERN,Middle Branch/Reedbird Pa,-76.61498,39.25137,0.386,44
2012,4,COMMON ASSAULT,HANDS,EASTERN,Middle East,-76.58988,39.30252,0.278,183
2012,4,COMMON ASSAULT,HANDS,WESTERN,Midtown-Edmondson,-76.64739,39.29581,0.214,182
2012,6,Larceny,Other,SOUTHEASTERN,Millhill,-76.65868,39.28007,0.288,225
2012,4,COMMON ASSAULT,HANDS,EASTERN,Milton-Montford,-76.58384,39.30021,0.316,174
2012,6,Larceny,Other,WESTERN,Mondawmin,-76.65821,39.318,0.378,607
2012,6D,LARCENY FROM AUTO,Other,NORTHEASTERN,Montebello,-76.58557,39.33297,0.445,83
2012,5A,BURGLARY,Other,NORTHEASTERN,Moravia-Walther,-76.5653,39.33952,0.559,59
2012,4C,AGG. ASSAULT,Other,NORTHEASTERN,Morgan State University,-76.58747,39.34001,0.208,24
2012,6,Larceny,Other,SOUTHEASTERN,Morrell Park,-76.65868,39.26444,0.27,262
2012,5A,BURGLARY,Other,WESTERN,Mosher,-76.66336,39.29871,0.235,119
2012,5A,BURGLARY,Other,SOUTHWESTERN,Mount Holly,-76.67613,39.3115,0.205,113
2012,6D,LARCENY FROM AUTO,Other,CENTRAL,Mount Vernon,-76.6157,39.29963,0.431,538
2012,6D,LARCENY FROM AUTO,Other,Northern,Mount Washington,-76.66598,39.35771,0.328,125
2012,4,COMMON ASSAULT,HANDS,SOUTHERN,Mount Winans,-76.64346,39.26344,0.23,39
2012,6,Larceny,Other,NORTHEASTERN,New Northwood,-76.59495,39.34767,0.208,250
2012,5A,BURGLARY,Other,SOUTHERN,New Southwest/Mount Clare,-76.64152,39.28517,0.276,217
2012,6,Larceny,Other,NORTHEASTERN,North Harford Road,-76.53802,39.35834,0.247,263
2012,6,Larceny,Other,Northern,North Roland Park/Poplar,-76.63961,39.36873,0.333,45
2012,5A,BURGLARY,Other,SOUTHWESTERN,Northwest Community Actio,-76.66749,39.30757,0.253,134
2012,4,COMMON ASSAULT,HANDS,SOUTHEASTERN,O'Donnell Heights,-76.54254,39.27659,0.338,65
2012,5A,BURGLARY,Other,Northern,Oakenshawe,-76.60949,39.33041,0.218,64
2012,6,Larceny,Other,Northern,Old Goucher,-76.61816,39.31544,0.345,142
2012,4,COMMON ASSAULT,HANDS,EASTERN,Oldtown,-76.605,39.29904,0.253,256
2012,4,COMMON ASSAULT,HANDS,EASTERN,Oliver,-76.59606,39.30989,0.222,481
2012,6,Larceny,Other,EASTERN,Orangeville,-76.56683,39.29942,0.32,53
2012,6,Larceny,Other,EASTERN,Orangeville Industrial Ar,-76.57113,39.31375,0.307,52
2012,4,COMMON ASSAULT,HANDS,NORTHEASTERN,Orchard Ridge,-76.56233,39.30897,0.239,46
